% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",Boundary wall,Building condition satisfactory,MeasureGroup 1 Measures,Color By Measure Value,Show Sheet,Table of Contents,Other Factors Measure Value,Analysis Level Selector,Color By Measure Name,Complete Primary Schools,Country,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,MeasureGroup 2 Measures,No Facility,Number of Records,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
61.42%,0.813387424,38.58%,0.077755240,0.108857336,97.00%,0.00%,3.00%,0.00%,3016,41,Cluster 2,82.065775951,55.755395683,88.580271998,88.580271998,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,1203,Pakistan,Sialkot,89.465570401,24,81.999234666,2.59%,74.665981501,96.666666667,88.580271998,9.07,60.35,81.999234666,0.00%,1,0.738392411,1479,0.261607589,524,3.70%,1688823,115,161,Punjab,82.4,75.693730730,5379,76.515930113,2003,2013
58.36%,0.934722222,41.64%,0.022222222,0.043055556,92.21%,0.00%,7.79%,0.00%,3252,41,Cluster 2,79.847494553,74.509803922,91.636462441,91.636462441,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,673,Pakistan,Toba Tek Singh,94.880174292,24,76.261198943,2.59%,85.076252723,93.333333333,91.636462441,9.07,68.475,76.261198943,0.00%,1,0.596520298,720,0.403479702,487,3.70%,1621593,16,31,Punjab,51.6,84.553376906,5379,88.453159041,1207,2013
63.37%,0.843570058,36.63%,0.025911708,0.130518234,98.67%,0.00%,1.33%,0.00%,4364,41,Cluster 2,90.059982862,73.436161097,86.629188259,86.629188259,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Punjab,Gender parity score,879,Pakistan,Vehari,97.514995716,24,64.073963732,2.59%,87.660668380,76.666666667,86.629188259,9.07,59.4,64.073963732,0.00%,1,0.692358804,1042,0.307641196,463,3.70%,2090416,27,136,Punjab,33.6,88.054841474,5379,91.602399314,1505,2013
86.84%,0.051148225,13.16%,0.279749478,0.669102296,10.32%,20.18%,17.14%,24.18%,6726,41,Cluster 1,44.354566903,28.850690934,63.156095491,63.156095491,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,147,Pakistan,Badin,39.063026626,24,45.489023873,2.59%,5.257836198,52.5,63.156095491,9.07,39.5,45.489023873,28.18%,1,0.941677588,2874,0.058322412,178,3.70%,1136044,804,1923,Sindh,26.8,34.061341422,5379,52.780586451,3052,2013
100.00%,0.500508647,0.00%,0.120549339,0.378942014,25.08%,15.72%,19.62%,18.53%,19070,41,Cluster 1,53.393213573,15.818363273,46.944822453,46.944822453,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,984,Pakistan,Dadu,39.920159681,24,51.894538946,2.59%,12.774451098,70.833333333,46.944822453,9.07,44.6,51.894538946,21.05%,1,0.933966746,1966,0.066033254,139,3.70%,1688811,237,745,Sindh,45.2,35.209580838,5379,54.141716567,2105,2013
100.00%,0.346090760,0.00%,0.126845271,0.527063969,14.90%,22.86%,30.20%,15.20%,6083,41,Cluster 1,54.180064309,22.079314041,49.917639094,49.917639094,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,633,Pakistan,Ghotki,58.788853162,24,48.281493107,2.59%,12.700964630,58.333333333,49.917639094,9.07,40.475,48.281493107,16.84%,1,0.933163265,1829,0.066836735,131,3.70%,970549,232,964,Sindh,44.4,40.600214362,5379,55.251875670,1960,2013
69.99%,0.447187929,30.01%,0.246913580,0.305898491,47.44%,11.26%,24.46%,12.40%,5519,41,Cluster 2,80.530973451,42.146017699,80.008520929,80.008520929,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,326,Pakistan,Hyderabad,65.154867257,24,55.676088566,2.59%,51.106194690,63.333333333,80.008520929,9.07,39.3625,55.676088566,4.44%,1,0.829351536,729,0.170648464,150,3.70%,1565000,180,223,Sindh,40,64.712389381,5379,84.623893805,879,2013
92.43%,0.320541761,7.57%,0.251316780,0.428141460,12.15%,19.58%,19.93%,18.40%,5278,41,Cluster 1,38.118131868,5.700549451,57.566030286,57.566030286,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,426,Pakistan,Jacobabad,27.747252747,24,46.424840905,2.59%,10.439560440,55.833333333,57.566030286,9.07,20.7,46.424840905,29.93%,1,0.922916667,1329,0.077083333,111,3.70%,1425572,334,569,Sindh,51.6,23.818681319,5379,37.087912088,1440,2013
85.94%,0.298737728,14.06%,0.312762973,0.388499299,24.40%,16.26%,21.73%,25.92%,0,41,Cluster 1,81.585365854,11.707317073,64.063314584,64.063314584,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,213,Pakistan,Jamshoro,42.804878049,24,47.459578646,2.59%,30.975609756,57.5,64.063314584,9.07,30.675,47.459578646,11.69%,1,0.905972046,713,0.094027954,74,3.70%,0,223,277,Sindh,37.6,47.853658537,5379,72.195121951,787,2013
90.24%,0.459102902,9.76%,0.166886544,0.374010554,16.06%,22.87%,19.25%,17.17%,0,41,Cluster 1,62.150127226,13.167938931,59.764727740,59.764727740,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,696,Pakistan,Kambar-Shahdadkot,47.646310433,24,46.793265268,2.59%,26.781170483,55.833333333,59.764727740,9.07,37.575,46.793265268,24.65%,1,0.929491110,1516,0.070508890,115,3.70%,0,253,567,Sindh,34,42.099236641,5379,60.750636132,1631,2013
65.89%,0.700232019,34.11%,0.106728538,0.193039443,50.11%,9.04%,21.83%,15.08%,3527,41,Cluster 2,84.189723320,39.288537549,84.110946820,84.110946820,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,1509,Pakistan,Karachi,63.083003953,24,63.402736705,2.59%,63.003952569,82.5,84.110946820,9.07,48.6,63.402736705,3.94%,1,0.695834679,2155,0.304165321,942,3.70%,13215631,230,416,Sindh,38.4,65.249011858,5379,76.679841897,3097,2013
97.22%,0.411342426,2.78%,0.135678392,0.452979182,7.16%,22.21%,16.45%,13.44%,2592,41,Cluster 1,29.374560787,7.940969782,52.779013994,52.779013994,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,573,Pakistan,Kashmore-Kandhkot,45.959241040,24,48.267670165,2.59%,3.794799719,56.666666667,52.779013994,9.07,34.425,48.267670165,40.74%,1,0.931772575,1393,0.068227425,102,3.70%,662462,189,631,Sindh,49.2,22.937456079,5379,27.617709065,1495,2013
91.11%,0.114303959,8.89%,0.355363985,0.530332056,35.49%,13.44%,24.71%,15.20%,15910,41,Cluster 1,53.056379822,31.483679525,58.891696718,58.891696718,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,358,Pakistan,Khairpur,71.632047478,24,55.118757513,2.59%,34.807121662,73.333333333,58.891696718,9.07,38.25,55.118757513,11.16%,1,0.905202312,3132,0.094797688,328,3.70%,1546587,1113,1661,Sindh,50,51.216617211,5379,65.103857567,3460,2013
86.32%,0.617248062,13.68%,0.088178295,0.294573643,44.86%,8.65%,34.50%,5.48%,7423,41,Cluster 2,81.847914963,24.938675388,63.684169926,63.684169926,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,637,Pakistan,Larkana,76.533115290,24,53.593959148,2.59%,64.104660670,64.166666667,63.684169926,9.07,36.525,53.593959148,6.51%,1,0.883561644,1032,0.116438356,136,3.70%,1927066,91,304,Sindh,50,65.789043336,5379,81.520850368,1168,2013
88.43%,0.005834306,11.57%,0.256332320,0.403733956,45.46%,8.10%,20.19%,16.41%,1417,41,Cluster 2,76.240760296,29.144667371,61.571064652,61.571064652,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,5,Pakistan,Matiari,67.370644139,24,44.244849496,2.59%,57.972544879,63.333333333,61.571064652,9.07,24.075,44.244849496,9.83%,1,0.925485961,857,0.074514039,69,3.70%,515331,506,346,Sindh,28,62.407602957,5379,81.309398099,926,2013
88.09%,0.332320162,11.91%,0.301050175,0.536980750,13.20%,16.71%,14.77%,20.82%,2925,41,Cluster 1,42.230881637,23.623964929,61.910745081,61.910745081,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,656,Pakistan,Mirpurkhas,40.672187043,24,46.840186270,2.59%,16.220165611,67.5,61.910745081,9.07,35.95,46.840186270,34.49%,1,0.911357341,1974,0.088642659,192,3.70%,1569030,258,1060,Sindh,22,34.018509498,5379,47.345348271,2166,2013
89.52%,0.444286392,10.48%,0.141299194,0.414414414,36.49%,16.38%,23.16%,13.42%,2945,41,Cluster 1,53.060306031,23.087308731,60.484592126,60.484592126,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,937,Pakistan,Naushehro Feroze,70.567056706,24,53.831564698,2.59%,36.273627363,64.166666667,60.484592126,9.07,48.675,53.831564698,10.55%,1,0.904373928,2109,0.095626072,223,3.70%,1087571,298,874,Sindh,42,48.865886589,5379,61.341134113,2332,2013
89.94%,0.333900613,10.06%,0.257903494,0.455071477,16.93%,15.72%,21.48%,17.77%,10720,41,Cluster 1,50.777037742,24.833491912,60.055724466,60.055724466,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,981,Pakistan,Sanghar,43.514113543,24,49.345181117,2.59%,100,67.5,60.055724466,9.07,37.025,49.345181117,28.10%,1,0.940460948,2938,0.059539052,186,3.70%,1453028,620,1337,Sindh,32.8,54.297494450,5379,52.362829052,3124,2013
93.73%,0.308236273,6.27%,0.210347175,0.434692180,40.56%,13.48%,18.77%,15.54%,4502,41,Cluster 1,53.809897879,32.285938727,56.272482096,56.272482096,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,741,Pakistan,Shaheed Benazirabad,57.227022781,24,51.432703857,2.59%,22.937941870,65.833333333,56.272482096,9.07,36.025,51.432703857,11.65%,1,0.915460777,2404,0.084539223,222,3.70%,1071533,618,1045,Sindh,47.6,43.754909662,5379,52.513747054,2626,2013
90.52%,0.628303495,9.48%,0.144927536,0.226768968,28.08%,16.15%,24.46%,16.23%,0,41,Cluster 1,63.694267516,13.614649682,59.478117773,59.478117773,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,737,Pakistan,Shikarpur,63.455414013,24,49.502862776,2.59%,26.194267516,60.833333333,59.478117773,9.07,37.7,49.502862776,15.08%,1,0.902307692,1173,0.097692308,127,3.70%,0,170,266,Sindh,40,46.385350318,5379,64.968152866,1300,2013
90.64%,0.273636364,9.36%,0.258181818,0.468181818,36.05%,13.03%,25.74%,16.31%,2512,41,Cluster 2,61.287693562,24.286878566,59.356513037,59.356513037,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,301,Pakistan,Sukkur,73.757131214,24,50.020378259,2.59%,46.210268949,67.5,59.356513037,9.07,41.625,50.020378259,8.87%,1,0.879296563,1100,0.120703437,151,3.70%,890438,284,515,Sindh,31.6,56.120619397,5379,75.061124694,1251,2013
96.13%,0.214285714,3.87%,0.215633423,0.570080863,31.77%,12.64%,23.71%,20.58%,5165,41,Cluster 2,72.997416021,33.204134367,53.873362445,53.873362445,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,159,Pakistan,Tando Allah Yar,56.847545220,24,40.420423945,2.59%,40.180878553,53.333333333,53.873362445,9.07,30.475,40.420423945,11.31%,1,0.892900120,742,0.107099880,89,3.70%,908373,160,423,Sindh,24,55.503875969,5379,74.289405685,831,2013
93.37%,0,6.63%,0.44,0.743157895,14.16%,22.81%,25.17%,19.08%,2310,41,Cluster 1,50.811359026,30.933062880,56.633152874,56.633152874,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,0,Pakistan,Tando Muhammad Khan,56.186612576,24,38.51,2.59%,10.750507099,45.833333333,56.633152874,9.07,31.175,38.51,18.78%,1,0.934119961,950,0.065880039,67,3.70%,550000,418,706,Sindh,20.4,40.141987830,5379,52.028397566,1017,2013
81.44%,0.024200054,18.56%,0.417585372,0.558214574,2.10%,15.12%,10.10%,19.79%,19638,41,Cluster 1,35.424735347,29.512006197,68.555463058,68.555463058,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,90,Pakistan,Tharparkar,29.821843532,24,49.445115764,2.59%,1.290988897,72.5,68.555463058,9.07,24.325,49.445115764,52.89%,1,0.927894212,3719,0.072105788,289,3.70%,955812,1553,2076,Sindh,32.4,26.480764265,5379,36.354247353,4008,2013
86.71%,0.018284107,13.29%,0.514767932,0.466947961,2.71%,22.57%,4.82%,25.48%,19638,41,Cluster 1,27.514231499,14.864010120,63.292522934,63.292522934,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,26,Pakistan,Thatta,18.564199873,24,39.175214067,2.59%,2.024035421,50.833333333,63.292522934,9.07,27.375,39.175214067,44.42%,1,0.938613861,1422,0.061386139,93,3.70%,914291,732,664,Sindh,15.2,18.772928526,5379,30.898165718,1515,2013
91.89%,0.089423077,8.11%,0.328365385,0.582211538,10.56%,22.64%,13.52%,25.20%,17355,41,Cluster 1,49.451553931,34.095063985,58.108710801,58.108710801,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Sindh,Gender parity score,186,Pakistan,Umerkot,30.393053016,24,49.306344367,2.59%,15.265082267,74.166666667,58.108710801,9.07,37.75,49.306344367,28.08%,1,0.934411500,2080,0.065588500,146,3.70%,1113194,683,1211,Sindh,27.2,37.586837294,5379,58.729433272,2226,2013
63.49%,0.936599424,36.52%,0.034582133,0.028818444,17.06%,16.20%,24.73%,24.95%,768,27,Cluster 1,17.790368272,31.575,86.515,86.515,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",AJK,Gender parity score,325,Pakistan,Bagh,36.939093484,19,80.745,2.62%,20.882436261,89.38,86.515,9.37,82.7,80.745,17.06%,1,0.577371048,347,0.422628952,254,4.10%,351415,12,10,AJK,64.38,30.075,5496,43.196883853,601,2014
71.06%,0.594202899,28.94%,0.359903382,0.045893720,15.25%,20.21%,17.38%,15.43%,1516,27,Cluster 1,36.142369021,53.62,78.94,78.94,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",AJK,Gender parity score,246,Pakistan,Bhimber,56.261958998,19,79.35,2.62%,51.681093394,88.685,78.94,9.37,63.07,79.35,31.74%,1,0.695798319,414,0.304201681,181,4.10%,301633,149,19,AJK,86.705,47.31,5496,38.864464692,595,2014
56.31%,0.939068100,43.69%,0.021505376,0.039426523,5.35%,4.55%,16.31%,20.05%,,27,Cluster 1,15.514598540,15.755,93.69,93.69,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",AJK,Gender parity score,262,Pakistan,Hattian,42.890510949,19,80.44,2.62%,20.332116788,86.915,93.69,9.37,77.665,80.44,53.74%,1,0.736147757,279,0.263852243,100,4.10%,,6,11,AJK,63.48,28.85,5496,49.762773723,379,2014
55.46%,0.827225131,44.55%,0.041884817,0.130890052,1.57%,22.44%,7.09%,12.20%,600,27,Cluster 1,5.612903226,10.355,94.545,94.545,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",AJK,Gender parity score,158,Pakistan,Haveli,39.978494624,19,79.545,2.62%,7.806451613,89.39,94.545,9.37,65.135,79.545,56.69%,1,0.729007634,191,0.270992366,71,4.10%,150000,8,25,AJK,69.105,19.485,5496,33.672043011,262,2014
52.31%,0.592348285,47.70%,0.346965699,0.060686016,7.12%,23.06%,9.78%,13.60%,2162,27,Cluster 1,19.210491368,59.03,97.695,97.695,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",AJK,Gender parity score,449,Pakistan,Kotli,36.632138114,19,79.925,2.62%,38.245683931,62.955,97.695,9.37,76.49,79.925,46.44%,1,0.731660232,758,0.268339768,278,4.10%,834094,263,46,AJK,82.555,36.525,5496,29.503320053,1036,2014
61.56%,0.582191781,38.44%,0.173515982,0.244292237,85.42%,1.28%,9.72%,2.30%,2310,27,Cluster 2,72.882352941,68.925,88.44,88.44,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",AJK,Gender parity score,255,Pakistan,Mirpur,66.436274510,19,74.02,2.62%,73.612745098,79.48,88.44,9.37,67.315,74.02,1.28%,1,0.706451613,438,0.293548387,182,4.10%,754482,76,107,AJK,60.845,67.875,5496,57.534313725,620,2014
72.84%,0.940717629,27.17%,0.026521061,0.032761310,9.90%,10.83%,18.86%,24.33%,2496,27,Cluster 1,17.776729560,29.705,77.165,77.165,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",AJK,Gender parity score,603,Pakistan,Muzaffarabad,38.559748428,19,65.69,2.62%,18.273584906,60.01,77.165,9.37,72.6,65.69,36.09%,1,0.718609865,641,0.281390135,251,4.10%,638973,17,21,AJK,52.98,29.33,5496,42.333333333,892,2014
64.84%,0.737327189,35.17%,0.184331797,0.078341014,4.08%,25.31%,13.47%,21.22%,,27,Cluster 1,18.744186047,44.575,85.165,85.165,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",AJK,Gender parity score,160,Pakistan,Neelum,45.325581395,19,71.5,2.62%,17.825581395,46.425,85.165,9.37,79.315,71.5,35.92%,1,0.777777778,217,0.222222222,62,4.10%,,40,17,AJK,75.1,35.675,5496,51.895348837,279,2014
53.77%,0.846975089,46.24%,0.112099644,0.040925267,4.52%,25.43%,7.09%,15.53%,855,27,Cluster 1,7.220248668,30.59,96.235,96.235,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",AJK,Gender parity score,476,Pakistan,Poonch,23.973357016,19,74.345,2.62%,17.210479574,48.415,96.235,9.37,71.665,74.345,47.43%,1,0.679564692,562,0.320435308,265,4.10%,411035,63,23,AJK,81.055,20.725,5496,24.637655417,827,2014
59.77%,0.707042254,40.24%,0.225352113,0.067605634,1.88%,26.02%,7.84%,14.11%,569,27,Cluster 1,8.5625,72.075,90.235,90.235,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",AJK,Gender parity score,251,Pakistan,Sudhnutti,21.903409091,19,71.08,2.62%,22.068181818,51.7,90.235,9.37,60.735,71.08,50.16%,1,0.718623482,355,0.281376518,139,4.10%,204091,80,24,AJK,81.655,30.675,5496,28.761363636,494,2014
73.77%,0.239631336,26.23%,0.188940092,0.571428571,35.94%,0.46%,54.38%,9.22%,12510,27,Cluster 1,40.719512195,45.607475728,76.23,76.23,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,52,Pakistan,Awaran,74.048780488,19,46.345,2.62%,6.182926829,36.845,76.23,9.37,45,46.345,0.00%,1,0.812734082,217,0.187265918,50,4.10%,118173,41,124,Balochistan,49.81,38.3,5496,24.939024390,267,2014
85.83%,0,14.18%,0.394316163,0.811722913,3.24%,31.57%,16.72%,48.46%,3514,27,Cluster 1,12.113879004,16.987021277,64.175,64.175,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,0,Pakistan,Barkhan,27.158362989,19,52.35,2.62%,14.991103203,45.675,64.175,9.37,45.64,52.35,0.00%,1,0.924466338,563,0.075533662,46,4.10%,103545,222,457,Balochistan,53.91,14.77,5496,2.588967972,609,2014
63.43%,0.342723005,36.57%,0.122065728,0.535211268,22.95%,2.46%,43.85%,30.74%,44748,27,Cluster 1,57.696969697,17.150751295,86.57,86.57,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,73,Pakistan,Chaghi,71.080808081,19,55.98,2.62%,16.015151515,29.575,86.57,9.37,44.74,55.98,0.00%,1,0.825581395,213,0.174418605,45,4.10%,300000,26,114,Balochistan,63.025,44.28,5496,59.434343434,258,2014
94.31%,0.612244898,5.69%,0.227891156,0.159863946,22.22%,3.82%,51.04%,22.92%,10160,27,Cluster 1,24.234767025,35.587857143,55.695,55.695,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,180,Pakistan,Dera Bugti,55.476702509,19,30.905,2.62%,11.650537634,8.825,55.695,9.37,27.795,30.905,0.00%,1,0.825842697,294,0.174157303,62,4.10%,181310,67,47,Balochistan,31.295,27.47,5496,10.396057348,356,2014
55.99%,0.244239631,44.02%,0.230414747,0.525345622,44.58%,1.61%,31.73%,22.09%,12637,27,Cluster 1,65.426829268,19.528300493,94.015,94.015,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,53,Pakistan,Gwadar,46.536585366,19,75.24,2.62%,48.646341463,61.925,94.015,9.37,76.68,75.24,0.00%,1,0.794871795,217,0.205128205,56,4.10%,185498,50,114,Balochistan,68.325,50.245,5496,71.073170732,273,2014
93.15%,0.280821918,6.85%,0.143835616,0.575342466,12.05%,11.45%,39.16%,37.35%,4096,27,Cluster 2,70.035211268,55.636027397,56.85,56.85,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,41,Pakistan,Harnai,64.281690141,19,61.705,2.62%,43.823943662,69.04,56.85,9.37,62.625,61.705,0.00%,1,0.863905325,146,0.136094675,23,4.10%,140000,21,84,Balochistan,58.3,58.525,5496,58.866197183,169,2014
67.15%,0.142857143,32.85%,0.187122736,0.670020121,12.41%,20.11%,28.20%,39.29%,2445,27,Cluster 1,39.122743682,22.637362637,82.85,82.85,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,71,Pakistan,Jaffarabad,66.889290012,19,61.31,2.62%,44.635379061,40.915,82.85,9.37,58.305,61.31,0.00%,1,0.878091873,497,0.121908127,69,4.10%,432817,93,333,Balochistan,63.175,41.09,5496,32.170276775,566,2014
75.54%,0.194331984,24.46%,0.198380567,0.607287449,10.68%,22.06%,27.40%,39.86%,3615,27,Cluster 1,41.405982906,6.000172414,74.46,74.46,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,48,Pakistan,Jhal Magsi,59.269230769,19,67.845,2.62%,28.568376068,48.61,74.46,9.37,73,67.845,0.00%,1,0.831649832,247,0.168350168,50,4.10%,109941,49,150,Balochistan,75.32,30.65,5496,17.995726496,297,2014
80.67%,0.225063939,19.33%,0.350383632,0.424552430,40.07%,5.05%,47.29%,7.58%,7499,27,Cluster 1,48.175824176,16.027955801,69.33,69.33,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,88,Pakistan,Kachhi,36.510989011,19,56.84,2.62%,33.983516484,41.695,69.33,9.37,69.69,56.84,0.00%,1,0.863134658,391,0.136865342,62,4.10%,288056,137,166,Balochistan,46.645,31.685,5496,23.747252747,453,2014
69.97%,0.228070175,30.04%,0.280701754,0.491228070,26.71%,10.87%,34.75%,27.66%,6622,27,Cluster 1,65.433242507,12.380405405,80.035,80.035,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,91,Pakistan,Kalat,46.662125341,19,56.845,2.62%,21.314713896,46.51,80.035,9.37,45.68,56.845,0.00%,1,0.836477987,399,0.163522013,78,4.10%,237834,112,196,Balochistan,55.14,38.99,5496,49.168937330,477,2014
66.03%,0.442913386,33.98%,0.206692913,0.350393701,57.11%,1.26%,37.03%,4.60%,22539,27,Cluster 1,49.029723992,23.431440678,83.975,83.975,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,225,Pakistan,Kech,53.259023355,19,59.34,2.62%,37.917197452,53.415,83.975,9.37,34.225,59.34,0.00%,1,0.765060241,508,0.234939759,156,4.10%,413204,105,178,Balochistan,65.76,43.505,5496,53.892781316,664,2014
60.20%,0.054644809,39.81%,0.295081967,0.650273224,68.20%,0.00%,29.95%,1.84%,8958,27,Cluster 1,42.209302326,12.784090909,89.805,89.805,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,10,Pakistan,Kharan,44.139534884,19,71.23,2.62%,28.116279070,58.845,89.805,9.37,74.105,71.23,0.00%,1,0.788793103,183,0.211206897,49,4.10%,132500,54,119,Balochistan,62.175,33.23,5496,38.895348837,232,2014
68.96%,0.321711569,31.04%,0.172741680,0.505546751,24.20%,7.78%,36.55%,31.47%,35380,27,Cluster 1,60.724867725,35.049210526,81.04,81.04,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,203,Pakistan,Khuzdar,57.720458554,19,66.545,2.62%,30.026455026,82.07,81.04,9.37,58.81,66.545,0.00%,1,0.869146006,631,0.130853994,95,4.10%,417466,109,319,Balochistan,44.25,46.085,5496,46.904761905,726,2014
94.20%,0.194063927,5.80%,0.235159817,0.570776256,16.70%,10.92%,41.97%,30.41%,3293,27,Cluster 1,56.074257426,15.794753086,55.8,55.8,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,85,Pakistan,Killa Abdullah,50.886138614,19,45.63,2.62%,31.772277228,35.57,55.8,9.37,53.805,45.63,0.00%,1,0.857142857,438,0.142857143,73,4.10%,370269,103,250,Balochistan,37.36,38.7,5496,38.960396040,511,2014
75.10%,0.031423290,24.91%,0.336414048,0.632162662,13.09%,26.36%,23.82%,36.73%,6831,27,Cluster 1,49.716535433,29.066190476,74.905,74.905,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,17,Pakistan,Killa Saifullah,72.925196850,19,66.095,2.62%,37.570866142,61.795,74.905,9.37,65.015,66.095,0.00%,1,0.892739274,541,0.107260726,65,4.10%,193553,182,342,Balochistan,62.68,46.305,5496,42.236220472,606,2014
88.30%,0,11.70%,0.202970297,0.824257426,19.41%,16.48%,15.80%,48.31%,7610,27,Cluster 1,38.393483709,33.271863517,61.7,61.7,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,0,Pakistan,Kohlu,53.312030075,19,63.68,2.62%,19.646616541,73.515,61.7,9.37,59.575,63.68,0.00%,1,0.905829596,404,0.094170404,42,4.10%,99846,82,333,Balochistan,59.94,35,5496,30.393483709,446,2014
67.19%,0.362934363,32.81%,0.185328185,0.451737452,18.09%,11.52%,32.62%,37.77%,15153,27,Cluster 1,52.142557652,27.873598326,82.81,82.81,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,188,Pakistan,Lasbela,62.576519916,19,59.225,2.62%,38.627882600,42.87,82.81,9.37,50.08,59.225,0.00%,1,0.854785479,518,0.145214521,88,4.10%,312695,96,234,Balochistan,61.14,47.315,5496,55.368972746,606,2014
73.72%,0,26.28%,0.409657321,0.660436137,28.81%,9.71%,28.35%,33.13%,9830,27,Cluster 1,49.378151261,38.991469622,76.28,76.28,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Balochistan,Gender parity score,0,Pakistan,Loralai,56.340336134,19,59.835,2.62%,48.205882353,51.825,76.28,9.37,53.03,59.835,0.00%,1,0.887966805,642,0.112033195,81,4.10%,295555,263,424,Balochistan,58.215,48.56,5496,49.878151261,723,2014
